Repo,PR_number,Commits,Additions,Deletions,Files_Changed,Comments,Formal_Review,Inline_Comments_Review,NumPathsInFile,AvgPathCharLength,MaxPathCharLength
dotCMS/core,32656,2,2703,546,25,1,6.0,2,25,75.96,90
dotCMS/core,32657,1,3811,906,18,3,0.0,0,18,75.61111111111111,88
dotCMS/core,32658,8,19214,2952,170,6,0.0,0,170,82.11764705882354,114
dotCMS/core,32659,9,21977,3267,185,6,0.0,0,185,81.32972972972973,114
dotCMS/core,32660,10,25559,4991,197,7,0.0,0,197,80.54314720812182,114
dotCMS/core,32661,7,28553,4822,214,6,0.0,0,214,80.6588785046729,114
dotCMS/core,32662,8,33920,5836,231,6,0.0,0,231,79.75757575757575,114
dotCMS/core,32663,9,36517,6282,244,7,0.0,0,244,78.85655737704919,114
dotCMS/core,32664,10,36517,6368,248,3,0.0,0,248,78.83064516129032,114
hyperledger/besu,8904,139,835,118,14,4,0.0,0,14,73.42857142857143,104
MeteorDevelopment/meteor-client,5568,1,41,18,1,2,0.0,0,1,86.0,86
apache/pulsar,24145,1,47,1,1,4,0.0,0,1,80.0,80
microsoft/typespec,7651,6,74,0,4,6,10.0,4,4,50.25,62
camunda/camunda,35099,2,106,0,2,0,0.0,0,2,53.0,56
microsoft/typespec,7918,8,4360,482,26,8,7.0,7,26,116.1923076923077,143
microsoft/typespec,7920,3,28,21,2,0,0.0,0,2,52.0,64
microsoft/typespec,7922,3,14,14,5,2,0.0,0,5,52.8,70
microsoft/typespec,7431,5,707,0,3,4,0.0,1,3,54.333333333333336,65
camunda/camunda,34153,2,9,1,2,3,4.0,4,2,82.0,92
valkey-io/valkey-glide,4263,1,0,0,0,0,0.0,0,0,0.0,0
valkey-io/valkey-glide,4264,9,9,2,1,0,2.0,0,1,25.0,25
valkey-io/valkey-glide,4265,6,185,130,22,3,3.0,0,22,31.318181818181817,49
Azure/azure-sdk-for-java,45606,3,87,38,1,4,0.0,0,1,102.0,102
Azure/azure-sdk-for-java,45609,12,127,12,4,4,0.0,0,4,106.75,109
microsoft/typespec,7662,2,189058,5,504,0,0.0,0,504,106.44444444444444,132
microsoft/typespec,7664,3,189059,5,505,0,0.0,0,505,106.26930693069306,132
microsoft/typespec,7666,3,13,5,4,0,0.0,0,4,37.0,53
valkey-io/valkey-glide,4464,3,78,6,1,2,0.0,0,1,39.0,39
valkey-io/valkey-glide,4465,3,35,5,5,2,0.0,0,5,21.6,27
Azure/azure-sdk-for-java,45451,2,2,0,1,1,0.0,0,1,9.0,9
microsoft/typespec,7391,6,315,0,5,2,16.0,16,5,43.6,54
microsoft/typespec,7493,2,42,0,3,3,0.0,1,3,49.333333333333336,53
microsoft/ApplicationInsights-Java,4311,3,266,0,8,0,0.0,0,8,116.0,138
